Symbol,Name,Sector,ROE,ROA,PB_ratio,PE_ratio,Net_margin,Asset_turn
MMM,3M Company,Industrials,0.4198,0.1383,11.14,25.38,0.1535,0.9
AOS,A.O. Smith Corp,Industrials,0.1826,0.097,6.29,29.73,0.0989,0.98
ABT,Abbott Laboratories,Health Care,0.0148,0.0066,3.4,222.56,0.0221,0.29
ACN,Accenture plc,Information Technology,0.3999,0.1596,10.99,27.55,0.0918,1.74
ATVI,Activision Blizzard,Information Technology,0.0356,0.0194,5.73,198.53,0.0478,0.41
AYI,Acuity Brands Inc,Industrials,0.2079,0.1203,4.02,22.58,0.0968,1.24
ADBE,Adobe Systems Inc,Information Technology,0.2272,0.1323,11.01,56.08,0.244,0.54
AAP,Advance Auto Parts,Consumer Discretionary,0.1486,0.0562,2.13,19.52,0.0507,1.11
AMD,Advanced Micro Devices Inc,Information Technology,0.3482,0.0553,18.76,591,0.0329,1.68
AET,Aetna Inc,Health Care,0.222,0.0612,3.8,31.51,0.0576,1.06
AMG,Affiliated Managers Group Inc,Financials,0.1956,0.0832,2.79,16.22,0.2822,0.29
AFL,AFLAC Inc,Financials,0.2048,0.034,2.14,11.64,0.2167,0.16
A,Agilent Technologies Inc,Health Care,0.0428,0.0235,4.7,33.48,0.0425,0.55
APD,Air Products & Chemicals Inc,Materials,0.1133,0.0625,3.51,12.63,0.1313,0.48
AKAM,Akamai Technologies Inc,Information Technology,0.0665,0.0484,3.02,35.17,0.0872,0.55
ALK,Alaska Air Group Inc,Industrials,0.2699,0.0873,2.23,8.06,0.1171,0.74
ALB,Albemarle Corp,Materials,0.0147,0.0073,3.84,17.59,0.0179,0.41
ARE,Alexandria Real Estate Equities Inc,Real Estate,0.0444,0.022,2.08,78.03,0.2141,0.1
ALXN,Alexion Pharmaceuticals,Health Care,0.0583,0.0383,3.03,61.63,0.1446,0.26
ALGN,Align Technology,Health Care,0.2273,0.1515,17.63,89.48,0.1612,0.94
ALLE,Allegion,Industrials,0.7438,0.1114,19.5,28.87,0.1121,0.99
AGN,"Allergan, Plc",Health Care,0.2157,0.1332,8.26,44.54,0.2106,0.63
ADS,Alliance Data Systems,Information Technology,0.5058,0.029,8.15,24.93,0.1022,0.28
LNT,Alliant Energy Corp,Utilities,0.129,0.0347,2.57,19.99,0.1387,0.24
ALL,Allstate Corp,Financials,0.1637,0.0308,1.64,11.5,0.0863,0.35
GOOG,Alphabet Inc Class C,Information Technology,0.1076,0.0862,4.94,60.34,0.1419,0.61
MO,Altria Group Inc,Consumer Staples,0.7743,0.2449,8.09,12.31,0.4185,0.59
AMZN,Amazon.com Inc.,Consumer Discretionary,0.1472,0.0342,24.35,227.04,0.0204,1.68
AEE,Ameren Corp,Utilities,0.075,0.0206,2.06,24.32,0.0847,0.24
AEP,American Electric Power,Utilities,0.0977,0.0279,1.84,17.62,0.1142,0.24
AXP,American Express Co,Financials,0.1534,0.018,4.48,32.64,0.087,0.2
AMT,American Tower Corp A,Real Estate,0.178,0.0366,9.9,52.53,0.1676,0.21
AWK,American Water Works Company Inc,Utilities,0.0808,0.0226,2.78,35.19,0.1306,0.17
AMP,Ameriprise Financial,Financials,0.274,0.0115,4.01,17.43,0.1353,0.09
ABC,AmerisourceBergen Corp,Health Care,0.3202,0.0236,7.22,21.4,0.0054,4.4
AME,AMETEK Inc.,Industrials,0.1857,0.0929,4.32,25.59,0.1621,0.57
AMGN,Amgen Inc.,Health Care,0.0847,0.0285,5.27,71.56,0.0967,0.3
APH,Amphenol Corp,Information Technology,0.1745,0.0724,6.73,42.67,0.0945,0.77
ADI,"Analog Devices, Inc.",Information Technology,0.0768,0.0347,3.3,43.74,0.1376,0.25
ANDV,Andeavor,Energy,0.1836,0.059,1.87,22.19,0.0437,1.35
ANSS,ANSYS,Information Technology,0.1228,0.0974,5.94,53.34,0.2492,0.39
ANTM,Anthem Inc.,Health Care,0.1566,0.0591,2.33,16.82,0.046,1.28
AON,Aon plc,Financials,0.2977,0.0586,7.5,29.97,0.1428,0.4
APA,Apache Corporation,Energy,0.1715,0.0654,2.12,12.11,0.1966,0.29
AIV,Apartment Investment & Management,Real Estate,0.2116,0.0513,5.23,33.54,0.3052,0.16
AAPL,Apple Inc.,Information Technology,0.3997,0.1427,6.04,17.17,0.2155,0.66
